Task name,Start stamp,End stamp,Duration,Number of errors,Completed,SubTask,Kod badanego,Testowany interfejs
FeedForward,10:57:42.728,10:58:25.447,42719.5434,8,True,,sub-15,Przyciski wzrokowe
IncreaseVolume,10:58:33.259,10:59:04.818,31559.2861,4,True,,sub-15,Przyciski wzrokowe
PauseAndResume,10:59:09.685,10:59:44.960,35274.721000000005,20,True,,sub-15,Przyciski wzrokowe
SetVideo,11:00:05.350,11:00:34.132,28781.43150000001,0,False,,sub-15,Przyciski wzrokowe
FeedForward,11:00:39.645,11:00:51.18,11373.157399999995,2,True,,sub-15,Przyciski wzrokowe
Rewind,11:00:59.78,11:01:09.986,10907.886200000008,2,False,,sub-15,Przyciski wzrokowe
PauseAndResume,11:01:16.47,11:01:25.116,9069.007000000012,6,False,,sub-15,Przyciski wzrokowe
IncreaseVolume,11:01:32.996,11:02:36.114,63118.044,7,False,,sub-15,Przyciski wzrokowe
SetPanelAndVideo,11:02:40.855,11:02:51.15,10159.48789999995,3,False,,sub-15,Przyciski wzrokowe
ReduceVolume,11:02:53.695,11:03:06.24,12329.301800000017,5,False,,sub-15,Przyciski wzrokowe
PauseAndResume,11:03:10.204,11:03:22.874,12670.141000000005,8,False,,sub-15,Przyciski wzrokowe
SetPanelAndVideo,11:03:27.964,11:03:42.133,14168.59659999999,3,False,,sub-15,Przyciski wzrokowe
FeedForward,11:03:42.506,11:03:46.743,4236.899099999981,1,False,,sub-15,Przyciski wzrokowe
Pause,11:03:49.52,11:03:53.951,4898.527200000011,1,False,,sub-15,Przyciski wzrokowe
FeedForward,14:18:20.292,14:18:44.599,24307.379499999995,11,False,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,14:18:52.935,14:19:11.633,18697.8613,1,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,14:19:11.866,14:19:27.950,16084.122399999993,4,False,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,14:19:33.776,14:19:37.559,3783.7930000000047,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
SetVideo,14:19:42.939,14:19:47.171,4232.2402999999895,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,14:19:51.42,14:19:54.811,3768.911500000002,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,14:20:00.931,14:20:18.291,17359.8128,1,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,14:20:25.819,14:20:31.273,5453.489999999991,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,14:20:36.667,14:21:04.501,27833.462899999984,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,14:21:13.825,14:21:30.176,16350.95749999999,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,14:21:33.31,14:21:45.723,12692.098599999998,0,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,14:21:45.723,14:21:51.496,5773.429600000002,1,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,14:21:56.278,14:22:23.203,26925.520300000004,2,True,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
Pause,14:22:23.906,14:22:24.824,917.3684000000356,0,False,,sub-12,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,14:40:29.542,14:40:47.381,17838.4034,0,True,,sub-12,Obszary aktywowane spojrzeniem
ReduceVolume,14:40:53.867,14:41:05.179,11312.853600000002,0,True,,sub-12,Obszary aktywowane spojrzeniem
PauseAndResume,14:41:08.522,14:41:13.340,4817.665299999993,0,True,,sub-12,Obszary aktywowane spojrzeniem
SetVideo,14:41:16.479,14:41:20.516,4037.136100000003,0,True,,sub-12,Obszary aktywowane spojrzeniem
FeedForward,14:41:25.807,14:42:01.961,36154.335000000014,10,True,,sub-12,Obszary aktywowane spojrzeniem
Rewind,14:42:07.27,14:42:21.214,14186.876000000006,0,True,,sub-12,Obszary aktywowane spojrzeniem
PauseAndResume,14:42:26.205,14:42:30.751,4545.649999999994,0,True,,sub-12,Obszary aktywowane spojrzeniem
ReduceVolume,14:42:35.766,14:42:46.266,10500.1164,1,True,,sub-12,Obszary aktywowane spojrzeniem
SetPanelAndVideo,14:42:51.182,14:43:03.530,12347.743499999982,0,True,,sub-12,Obszary aktywowane spojrzeniem
ReduceVolume,14:43:08.117,14:43:24.306,16188.496999999974,0,True,,sub-12,Obszary aktywowane spojrzeniem
PauseAndResume,14:43:30.168,14:43:34.611,4442.864600000001,0,True,,sub-12,Obszary aktywowane spojrzeniem
SetPanelAndVideo,14:43:40.525,14:43:46.46,5521.630499999998,1,True,,sub-12,Obszary aktywowane spojrzeniem
FeedForward,14:43:49.956,14:44:10.147,20190.46169999998,1,True,,sub-12,Obszary aktywowane spojrzeniem
Pause,14:44:16.236,14:44:19.954,3717.4590000000026,1,False,,sub-12,Obszary aktywowane spojrzeniem
FeedForward,14:54:26.970,14:54:45.340,18369.7327,1,True,,sub-12,Przyciski wzrokowe
Rewind,14:54:49.658,14:54:57.788,8129.602899999997,1,True,,sub-12,Przyciski wzrokowe
ReduceVolume,14:55:02.648,14:55:20.897,18249.3106,0,False,,sub-12,Przyciski wzrokowe
PauseAndResume,14:55:27.119,14:55:32.421,5301.977799999993,0,True,,sub-12,Przyciski wzrokowe
SetVideo,14:55:36.954,14:55:40.299,3344.420300000012,0,True,,sub-12,Przyciski wzrokowe
PauseAndResume,14:55:44.318,14:55:49.552,5233.529500000004,0,True,,sub-12,Przyciski wzrokowe
IncreaseVolume,14:55:53.392,14:56:08.642,15250.300699999993,3,True,,sub-12,Przyciski wzrokowe
SetPanelAndVideo,14:56:13.852,14:56:24.329,10476.8076,3,True,,sub-12,Przyciski wzrokowe
FeedForward,14:56:30.41,14:56:40.781,10739.922099999996,1,False,,sub-12,Przyciski wzrokowe
IncreaseVolume,14:56:46.888,14:56:54.31,7143.881500000019,0,False,,sub-12,Przyciski wzrokowe
PauseAndResume,14:57:01.48,14:57:08.763,7715.3904999999795,0,True,,sub-12,Przyciski wzrokowe
SetPanelAndVideo,14:57:15.323,14:57:23.498,8175.2135000000135,1,True,,sub-12,Przyciski wzrokowe
FeedForward,14:57:27.996,14:57:38.857,10860.930999999982,0,True,,sub-12,Przyciski wzrokowe
Pause,14:57:41.397,14:57:44.40,2642.991700000013,1,False,,sub-12,Przyciski wzrokowe
FeedForward,12:59:27.990,13:00:06.391,38401.0912,0,True,,sub-09,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,13:00:10.736,13:00:51.254,40517.8421,0,True,,sub-09,Obszary aktywowane przemieszczeniem spojrzenia
IncreaseVolume,13:00:37.71,13:00:56.684,19612.925700000007,1,False,,sub-09,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,13:00:56.763,13:01:56.548,59784.60979999999,3,True,,sub-09,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,13:02:02.6,13:02:14.521,12514.719000000012,2,False,,sub-09,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,13:02:21.775,13:03:39.45,77270.2058,7,False,,sub-09,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,13:03:45.634,13:04:01.357,15723.109600000025,0,True,,sub-09,Obszary aktywowane przemieszczeniem spojrzenia
SetVideo,13:04:08.80,13:04:46.554,38474.790099999984,8,False,,sub-09,Obszary aktywowane przemieszczeniem spojrzenia
Rewind,13:04:50.857,13:04:57.164,6307.007199999993,1,False,,sub-09,Obszary aktywowane przemieszczeniem spojrzenia
ReduceVolume,13:05:00.853,13:05:15.97,14243.85129999998,1,True,,sub-09,Obszary aktywowane przemieszczeniem spojrzenia
PauseAndResume,13:05:15.75,13:05:19.896,4820.971799999998,1,False,,sub-09,Obszary aktywowane przemieszczeniem spojrzenia
SetPanelAndVideo,13:05:19.986,13:06:08.538,48552.07539999997,6,False,,sub-09,Obszary aktywowane przemieszczeniem spojrzenia
FeedForward,11:58:32.350,11:59:15.233,42883.69340000001,6,True,,sub-09,Obszary aktywowane spojrzeniem
ReduceVolume,11:59:20.233,11:59:35.753,15519.577300000004,2,True,,sub-09,Obszary aktywowane spojrzeniem
PauseAndResume,11:59:41.873,11:59:46.266,4392.495000000011,0,True,,sub-09,Obszary aktywowane spojrzeniem
SetVideo,11:59:53.775,12:00:16.111,22336.8355,2,True,,sub-09,Obszary aktywowane spojrzeniem
FeedForward,12:00:25.468,12:00:44.453,18985.410600000007,1,True,,sub-09,Obszary aktywowane spojrzeniem
FeedForward,12:00:48.583,12:00:53.726,5143.095499999996,0,True,,sub-09,Obszary aktywowane spojrzeniem
PauseAndResume,12:00:58.662,12:01:33.662,34999.41940000001,9,True,,sub-09,Obszary aktywowane spojrzeniem
ReduceVolume,12:01:42.871,12:01:59.332,16461.046700000006,2,False,,sub-09,Obszary aktywowane spojrzeniem
SetPanelAndVideo,12:02:07.943,12:02:16.989,9045.819900000002,4,False,,sub-09,Obszary aktywowane spojrzeniem
ReduceVolume,12:02:21.487,12:02:34.712,13225.061400000004,2,True,,sub-09,Obszary aktywowane spojrzeniem
FeedForward,12:29:22.827,12:29:27.383,4556.109400000001,0,False,,sub-09,Przyciski wzrokowe
Rewind,12:29:31.263,12:29:36.643,5379.853900000002,4,True,,sub-09,Przyciski wzrokowe
IncreaseVolume,12:29:42.736,12:30:07.336,24600.161,7,True,,sub-09,Przyciski wzrokowe
PauseAndResume,12:30:40.384,12:31:47.264,66880.44709999999,28,True,,sub-09,Przyciski wzrokowe
SetVideo,12:31:51.294,12:32:01.662,10368.416499999992,0,True,,sub-09,Przyciski wzrokowe
PauseAndResume,12:32:06.335,12:32:16.216,9880.101900000038,0,True,,sub-09,Przyciski wzrokowe
IncreaseVolume,12:32:22.195,12:32:44.912,22716.32870000001,4,True,,sub-09,Przyciski wzrokowe
SetPanelAndVideo,12:32:51.905,12:33:02.90,10185.722299999994,0,False,,sub-09,Przyciski wzrokowe
FeedForward,12:33:09.741,12:33:16.881,7139.566300000006,0,False,,sub-09,Przyciski wzrokowe
ReduceVolume,12:33:24.43,12:33:33.184,9140.418599999975,2,True,,sub-09,Przyciski wzrokowe
PauseAndResume,12:33:37.613,12:33:48.677,11063.74530000001,0,True,,sub-09,Przyciski wzrokowe
SetPanelAndVideo,12:33:54.473,12:34:11.563,17090.014100000033,3,False,,sub-09,Przyciski wzrokowe
FeedForward,12:34:16.415,12:34:37.938,21523.195699999982,8,True,,sub-09,Przyciski wzrokowe
Pause,12:34:44.486,12:34:49.483,4996.932299999986,0,False,,sub-09,Przyciski wzrokowe
FeedForward,16:05:58.189,16:06:08.547,10358.1204,0,True,,sub-08,Obszary aktywowane spojrzeniem
Rewind,16:06:12.94,16:06:21.325,9231.249799999998,0,True,,sub-08,Obszary aktywowane spojrzeniem
ReduceVolume,16:06:25.870,16:06:36.218,10347.5282,0,True,,sub-08,Obszary aktywowane spojrzeniem
PauseAndResume,16:06:40.302,16:06:44.311,4008.184500000003,0,True,,sub-08,Obszary aktywowane spojrzeniem
SetVideo,16:06:47.591,16:06:52.847,5256.138699999996,0,True,,sub-08,Obszary aktywowane spojrzeniem
PauseAndResume,16:06:57.98,16:07:01.145,4047.510899999994,0,True,,sub-08,Obszary aktywowane spojrzeniem
IncreaseVolume,16:07:04.859,16:07:11.878,7018.874500000004,0,True,,sub-08,Obszary aktywowane spojrzeniem
SetPanelAndVideo,16:07:16.936,16:07:22.926,5990.046099999991,3,False,,sub-08,Obszary aktywowane spojrzeniem
FeedForward,16:07:27.466,16:07:36.562,9096.318899999998,0,True,,sub-08,Obszary aktywowane spojrzeniem
IncreaseVolume,16:07:40.231,16:07:50.118,9886.5803,0,True,,sub-08,Obszary aktywowane spojrzeniem
PauseAndResume,16:07:52.313,16:07:56.803,4490.14390000001,0,True,,sub-08,Obszary aktywowane spojrzeniem
SetPanelAndVideo,16:08:02.18,16:08:07.424,5405.511300000013,1,True,,sub-08,Obszary aktywowane spojrzeniem
FeedForward,16:08:12.888,16:08:30.185,17296.373799999972,0,True,,sub-08,Obszary aktywowane spojrzeniem
Pause,16:08:32.541,16:08:34.840,2298.5342999999993,1,False,,sub-08,Obszary aktywowane spojrzeniem
FeedForward,15:14:43.429,15:15:02.800,19370.6248,0,True,,sub-08,Przyciski wzrokowe
IncreaseVolume,15:15:08.103,15:15:19.553,11449.828700000013,0,True,,sub-08,Przyciski wzrokowe
PauseAndResume,15:15:25.853,15:15:31.685,5831.1665000000075,0,True,,sub-08,Przyciski wzrokowe
SetVideo,15:15:35.522,15:15:40.326,4803.612899999994,0,True,,sub-08,Przyciski wzrokowe
FeedForward,15:15:46.956,15:16:02.365,15409.358299999993,0,False,,sub-08,Przyciski wzrokowe
Rewind,15:16:07.382,15:16:17.709,10326.739899999986,1,True,,sub-08,Przyciski wzrokowe
PauseAndResume,15:16:23.410,15:16:33.395,9985.106,0,True,,sub-08,Przyciski wzrokowe
ReduceVolume,15:16:39.433,15:16:44.754,5320.181399999972,0,False,,sub-08,Przyciski wzrokowe
SetPanelAndVideo,15:16:52.13,15:17:03.862,11848.212200000007,6,True,,sub-08,Przyciski wzrokowe
ReduceVolume,15:17:11.122,15:17:15.519,4396.719400000002,0,True,,sub-08,Przyciski wzrokowe
